name,known_for
Ada Lovelace,first computer algorithm
Chien-Shiung Wu,"confim and refine theory of radioactive beta decy, Wu experiment overturning theory of parity"
Flossie Wong-Staal,first scientist to clone HIV and create a map of its genes which led to a test for the virus
Gladys West,mathematical modeling of the shape of the Earth which served as the foundation of GPS technology
Janaki Ammal,"hybrid species, biodiversity protection"
Jennifer Doudna,"one of the primary developers of CRISPR, a ground-breaking technology for editing genomes"
Katherine Johnson,calculations of orbital mechanics critical to sending the first Americans into space
Marie Curie,"theory of radioactivity,  discovery of elements polonium and radium, first woman to win a Nobel Prize"
Vera Rubin,existence of dark matter
